Date,checkins,1st of Month,15th of Month,JewishHoliday,CNY15Days,CNY7Days,CNY,SuperBowl,Valentines,Holloween,NY,MLK,Pres Day,Easter,Memorial,MotherDay,FatherDay,July 4th,LaborDay,ColumbusDay,VeteransDay,ThxGiving,Xmas,LongWKend,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Sun,Mon,Tue,Wed,Thu,Fri,2010,2011,2012,Casino,SE,Seg 0-3,FIT,WS,Group,FIT ADR
2010-03-02,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,758,166,235,770,272,1354,258.61
2010-03-03,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,709,159,289,1017,267,1087,189.98
2010-03-04,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,826,157,328,1144,314,858,137.15
2010-03-05,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1187,253,566,1167,356,436,140.05
2010-03-06,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1210,250,555,1235,368,459,119.7
2010-03-07,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1063,239,481,1037,327,529,142.56
2010-03-08,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,837,154,210,1219,311,522,128.33
2010-03-09,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,809,111,198,1248,321,784,105.83
2010-03-10,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,723,59,222,964,255,1233,255.3
2010-03-11,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,829,72,383,830,237,1263,232.45
